previous_units,current_units,people,acs,fans,fridges,tvs,month,bill
218,267.0,4,0,2,1,1,2,2838.75
448,508.5,1,1,2,2,4,11,5458.92
92,118.2,3,1,7,2,3,10,1720.3
381,416.4,2,1,5,2,2,12,4566.73
386,387.9,4,1,6,2,0,1,4337.39
220,343.5,6,1,7,1,4,3,3950.93
168,125.0,7,3,3,2,3,1,2362.23
52,30.9,2,2,1,1,2,6,1136.42
471,491.8,4,3,7,1,2,11,5350.15
476,557.5,4,3,5,1,2,10,6041.11
158,73.2,3,2,1,2,4,9,1569.31
64,30.0,5,3,4,1,3,11,1311.12
105,30.0,7,0,1,2,2,1,849.49
80,102.3,3,3,3,1,3,10,1960.68
424,365.7,1,1,3,1,4,4,4699.03
451,444.1,7,2,4,2,1,9,4945.21
118,184.3,7,0,4,1,4,10,2199.84
386,361.1,3,0,6,1,3,9,4169.58
130,166.2,4,3,3,2,0,6,2867.04
215,214.0,7,1,6,1,4,8,2910.99
319,386.0,4,0,7,1,3,6,4592.76
373,426.3,4,2,6,2,1,8,4688.26
443,414.6,7,0,2,2,1,6,5086.36
70,78.2,6,1,5,1,4,5,1697.9
138,231.1,4,2,2,2,4,3,2861.43
176,223.5,2,2,4,1,0,5,3079.84
189,111.2,4,1,5,1,3,9,1759.06
499,564.9,5,1,3,1,0,11,5740.64
399,343.1,2,3,1,2,1,2,4113.45
194,312.9,4,0,6,1,2,3,3452.97
487,578.7,5,0,6,1,1,7,6554.7
274,314.3,1,0,1,2,2,9,3363.57
275,306.0,4,3,3,2,2,3,3945.86
245,250.4,6,1,2,1,2,4,3425.74
114,181.5,2,0,7,2,4,1,2128.61
470,464.0,4,0,7,1,0,1,4980.08
56,92.5,5,0,5,2,3,2,1301.51
128,209.0,1,3,4,1,1,9,2682.97
153,133.7,5,1,1,1,0,11,1729.94
175,151.9,2,0,2,2,2,6,1973.59
109,45.4,3,0,1,2,1,3,932.8
58,30.0,5,2,6,2,0,12,998.99
354,246.0,1,2,1,2,2,4,3607.42
486,557.1,1,3,5,1,4,2,6172.13
104,250.6,4,0,7,2,2,2,2983.43
183,302.8,7,0,3,2,3,5,3825.01
277,183.2,1,0,5,2,0,9,2396.73
467,537.7,6,1,7,1,0,5,6556.72
362,481.5,1,2,3,1,1,6,5757.03
394,382.0,4,2,4,2,3,5,4874.33
311,338.1,4,0,2,2,4,12,3882.81
237,116.4,4,2,3,1,0,9,1833.38
139,177.7,1,2,7,1,2,8,2530.64
438,383.6,6,0,5,1,1,6,4904.44
411,445.0,2,2,2,1,3,7,5461.52
61,30.0,6,1,4,2,1,11,1064.64
371,429.0,5,0,5,2,2,8,4794.95
87,178.7,4,1,1,2,4,10,2421.15
382,347.2,3,3,6,2,2,1,4204.73
421,361.4,5,2,2,1,3,11,4167.37
108,30.0,7,1,3,2,3,12,1141.62
245,246.4,7,3,3,1,2,9,3265.22
105,84.3,7,1,4,1,1,12,1649.13
305,216.4,2,1,7,1,4,7,3311.87
467,518.7,5,0,2,1,1,4,5871.04
86,74.5,3,3,2,1,4,8,1661.16
228,172.7,7,3,3,1,4,8,2675.24
487,468.2,7,0,7,1,2,2,5038.93
185,280.0,7,2,7,1,4,3,3474.8
109,171.2,2,3,4,2,3,4,2971.34
269,279.9,3,2,5,2,3,7,4075.59
278,341.3,5,0,7,1,0,2,3567.6
348,286.7,6,3,6,2,0,10,3761.8
191,213.3,3,1,5,2,0,2,2554.16
480,510.3,1,1,4,1,0,12,5078.74
284,271.1,1,1,7,1,4,9,3187.79
178,228.5,5,3,2,1,0,5,3622.1
482,447.4,4,2,3,2,0,5,5558.16
466,521.7,4,2,5,1,4,9,5656.15
274,332.6,6,3,1,1,1,2,3947.63
61,30.0,1,3,4,2,4,9,1270.73
318,421.3,6,3,6,2,4,7,5529.17
299,105.7,2,3,2,2,2,3,1930.25
116,92.9,7,3,6,1,4,11,1787.36
335,426.8,7,3,3,1,4,8,5068.26
428,425.8,4,2,7,1,0,2,4667.16
97,30.0,3,0,5,1,0,8,747.45
375,318.4,2,0,2,2,1,5,4276.63
113,204.9,2,3,6,1,2,10,2618.53
386,271.5,7,1,1,2,3,6,3966.56
238,337.0,2,3,2,1,0,12,3971.9
52,68.1,4,3,7,2,0,12,1708.06
484,420.5,4,2,7,2,1,1,4712.38
124,103.2,5,3,1,1,1,5,2062.47
318,266.8,6,1,3,2,4,3,3352.6
131,211.6,4,1,1,2,1,6,3112.94
469,540.3,6,3,2,1,4,2,5868.63
382,281.7,4,3,7,1,0,7,4181.97
411,402.7,4,0,2,2,0,2,4316.09
244,203.6,2,3,5,2,4,8,2993.49
260,370.5,2,1,6,1,1,6,4616.63
335,260.5,4,3,7,1,0,12,3356.48
403,535.3,1,2,3,1,2,11,5490.18
431,448.7,3,2,5,2,0,8,4992.15
58,30.0,4,0,4,2,0,6,1089.42
348,320.6,4,1,1,1,2,9,3603.83
99,62.9,6,2,2,1,2,9,1422.79
179,109.8,7,3,6,2,2,2,2052.86
423,449.6,6,0,5,1,2,5,5686.81
162,96.0,1,0,4,2,0,12,1425.49
408,275.4,3,2,6,2,1,4,4212.6
258,251.4,6,1,5,2,1,1,3097.85
154,47.8,5,3,3,2,1,11,1534.99
200,167.3,4,0,3,2,2,12,1953.22
288,244.4,4,1,7,1,1,8,2749.28
394,353.0,3,0,7,2,3,8,4091.75
322,482.1,5,2,1,2,4,5,5956.42
469,492.9,2,3,6,2,3,5,6417.6
440,477.2,4,0,1,1,1,11,4718.96
389,284.7,2,1,7,2,2,11,3363.58
321,295.2,5,3,5,2,2,6,4499.81
180,215.1,7,0,5,1,3,4,3174.19
235,183.3,4,3,5,1,1,3,2618.37
103,186.6,3,3,5,2,0,1,2644.01
218,153.8,7,0,2,2,3,6,2462.93
466,466.0,5,0,6,2,3,7,5722.92
241,220.0,3,2,4,1,0,9,3025.24
101,132.5,1,0,4,1,3,10,1587.34
343,318.2,1,2,3,2,0,5,4416.03
483,484.0,2,0,1,1,3,3,5008.48
440,443.5,2,2,4,2,3,11,4946.43
173,141.6,6,1,3,2,0,10,2208.3
254,308.0,4,2,5,1,3,7,4213.97
288,324.7,7,3,3,2,0,1,3976.46
161,174.8,4,1,7,2,1,6,2844.5
170,159.9,7,2,5,1,3,8,2543.83
156,231.8,4,2,4,1,1,11,2984.85
497,500.5,3,3,5,1,4,7,6016.51
385,383.5,6,0,5,2,4,6,4933.37
428,455.3,4,0,5,1,4,5,5533.14
417,555.8,2,1,5,1,0,5,6456.1
481,407.2,4,2,7,1,0,1,4769.21
97,170.9,5,3,3,1,0,2,2433.96
446,333.5,3,1,4,1,2,10,3957.06
79,114.2,5,0,2,2,2,5,1764.51
263,393.3,7,2,4,2,3,11,4629.08
317,371.2,3,2,7,1,1,5,4920.36
211,242.9,3,1,5,2,0,12,2940.44
115,95.8,3,0,2,2,3,3,1481.55
136,158.2,6,3,7,1,3,3,2623.09
421,423.4,2,3,6,2,3,8,5053.32
193,158.0,7,2,4,2,1,10,2386.52
189,188.7,3,2,2,1,2,2,2609.05
465,498.9,6,1,3,2,4,7,6226.14
114,80.3,6,1,6,1,3,3,1754.25
461,424.6,6,0,5,2,4,9,4803.32
464,388.8,7,0,2,2,2,7,4899.62
319,366.4,2,1,2,1,0,8,4181.56
124,182.2,5,1,7,2,3,4,2515.36
120,156.2,1,0,4,1,2,4,2193.6
178,265.6,3,3,5,1,0,8,3172.66
309,335.2,1,1,3,2,0,5,4445.25
119,166.4,5,2,1,1,1,9,2270.95
255,296.3,5,1,3,1,0,2,3245.15
101,114.6,6,1,5,2,3,4,2060.86
293,275.8,2,3,3,1,3,2,3391.84
59,234.0,3,2,5,2,1,2,2740.83
369,357.4,5,3,4,1,0,4,4874.72
74,47.4,6,1,3,2,0,6,1235.11
137,187.4,7,1,2,1,4,2,2445.33
128,165.6,1,1,2,1,1,2,2066.71
423,344.7,3,2,2,2,0,11,3939.29
74,172.6,1,1,6,2,3,7,2276.98
243,256.4,6,1,3,1,4,9,3133.45
316,258.2,1,0,6,2,0,9,3015.56
282,385.2,6,2,3,2,4,2,4471.79
356,419.8,2,2,3,1,3,8,4659.68
411,342.5,1,2,7,1,1,11,4213.28
227,371.4,7,3,7,1,3,6,5141.59
422,488.1,4,3,3,2,2,11,5771.53
193,212.3,3,3,2,1,3,12,3218.43
492,623.3,5,0,6,2,0,7,6984.1
277,308.2,2,3,1,2,1,2,3438.58
381,399.0,5,1,4,1,3,8,4402.39
443,416.8,4,1,5,1,4,11,4691.7
406,466.7,2,1,5,2,0,7,5648.18
433,486.4,3,1,1,2,1,10,5180.2
291,312.0,1,3,1,1,3,7,4241.92
69,33.7,3,2,2,2,4,6,1246.3
271,300.1,5,3,1,1,3,12,3629.83
131,146.1,1,3,4,1,3,2,2185.32
450,376.7,1,1,7,1,1,6,4944.55
156,73.0,5,2,3,2,0,2,1517.17
152,211.6,3,2,4,2,3,8,2691.52
162,30.0,1,1,2,2,3,12,1097.83
339,373.4,6,2,1,2,2,12,4265.65
307,293.5,6,2,5,1,2,3,3745.39
476,587.6,1,3,2,1,1,9,6066.99
237,222.5,2,3,4,2,2,11,2878.19
177,243.2,3,2,5,1,1,11,2985.9
72,64.2,6,3,6,2,2,7,1944.83
53,81.0,1,0,2,2,0,3,1018.7
218,289.6,6,3,5,1,3,6,4335.9
466,453.6,3,1,7,2,1,10,5187.89
285,374.8,1,1,4,2,3,8,3958.68
452,402.4,7,3,1,1,2,5,5679.41
95,135.6,1,1,2,2,4,3,1547.24
91,175.6,1,3,6,1,1,8,2526.13
425,491.2,7,1,6,1,1,6,5941.31
98,252.2,4,1,3,2,1,6,3369.6
73,39.6,4,1,2,2,3,12,960.63
231,154.5,5,1,3,1,0,1,2140.55
466,416.4,5,3,2,2,3,3,4845.44
360,426.2,5,0,6,2,4,12,4528.43
94,148.9,1,2,6,2,3,12,2342.0
426,453.2,4,3,1,2,0,4,5854.46
429,370.4,2,1,6,1,2,12,4416.26
410,483.7,6,2,6,2,2,3,5307.88
456,390.3,4,1,5,1,1,1,4554.43
157,258.1,1,0,7,1,2,4,2985.86
490,650.0,7,2,1,1,3,7,7713.17
194,239.7,2,3,5,1,4,1,3045.61
410,470.8,2,2,1,2,1,3,5240.23
310,295.5,7,1,7,2,1,10,3595.33
400,293.3,6,0,4,2,1,8,3202.37
332,309.8,7,3,1,1,2,8,3722.62
339,282.5,5,3,6,2,2,12,3612.76
327,245.7,7,3,6,1,3,3,3553.31
400,540.6,1,1,4,1,1,11,5547.24
382,421.1,5,2,3,1,1,5,5339.54
110,156.6,3,1,1,2,0,12,1920.12
421,419.4,3,0,7,1,0,10,4504.99
291,298.9,2,0,2,2,0,3,3084.63
